Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2018-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bosnia and Herzegovina,BIH,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.747551156,6.995323448,6.587891943,5.492085307,20.72899986,20.96777648,25.4072811,14.85786987,11.70279065,14.35645193,10.07963223,10.60839603,10.28195209,8.799390954,10.6919756,10.23472925,9.503730629,6.487187425,7.021040544,8.62978028,10.64960925,5.279955978,5.423227644,9.642014477,6.523638524,,,
Belarus,BLR,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003780410379,0.003492127216,0.003952483898,0.005186916438,0.006108144968,0.006950151493,0.005414401616,0.007124484629,0.009697236412,0.006757603441,0.009449048832,0.01045463267,0.00991326056,0.009297461349,0.01091666089,0.01189192357,0.01086993539,0.01109758086,0.01231340361,0.01458991042,0.01437338508,0.01260196328,0.02143031271,0.04603256889,0.04122351894,,,
Belize,BLZ,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,7.566654517,7.234058772,7.005411276,6.958418823,6.237953154,5.970679325,5.895634345,5.758780526,5.342247061,3.739746868,3.874319229,3.649647211,3.840614761,3.921981928,3.897247459,4.021667403,4.134266941,4.336808805,4.085148161,3.887242391,4.1639061,3.816578312,4.238696929,3.373867078,2.885347943,3.027954281,3.04910166,2.999142948,3.503002261,3.410114423,4.797420889,4.140856165,3.592398701,3.880552702,3.251675035,2.855983955,3.765177554,3.527997509,3.367882756,2.939633712,2.993775584,2.609537975,2.79828054,2.338000813,,,
Brazil,BRA,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,5.323867582,5.827313193,6.072941362,6.474480251,6.824907296,7.457685078,8.135932684,8.4039405,8.968048944,9.737277736,10.29631566,10.92979876,11.44532262,12.18005828,12.54033647,11.61378129,11.52743314,12.12120545,12.4317158,13.09483188,13.37343408,13.62398428,13.74072801,13.40945753,13.9621556,13.84437595,13.92098917,14.1973292,14.06342665,14.82316859,14.05785989,14.4438308,14.99764967,14.61935522,14.72125021,15.13324048,15.10841594,14.37233655,15.56147893,14.67716784,15.39405343,14.49236591,13.19855871,12.45975844,,,
Barbados,BRB,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004441133677,0.004490807682,0.005653881225,0.004839667717,,,
Bhutan,BTN,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,0.006359755467,0.01504382938,0.02692450744,0.03521934782,0.04437887008,0.04051743523,0.04842258626,0.04332182314,0.03646843106,0.04112311242,0.04424500612,0.05678675106,0.05661700825,0.05915556144,0.03461553609,0.03548035514,0.03381600449,0.0299566615,0.02900883583,0.02790590419,0.0275826378,0.02715363265,0.02724148187,0.007906781807,0.007661804725,0,0,0,0,0,0,0,0.003465085835,0.003165805764,,,
Central African Republic,CAF,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,12.06229596,11.45254345,10.89471399,10.15013004,10.41846034,10.04635991,10.70022811,10.18847117,9.813260997,10.22201421,10.04328603,10.67094008,11.4758929,13.06035248,13.70508786,12.5819807,13.45982811,14.6990773,15.87688787,16.17114767,16.67245292,18.15438594,18.43107348,20.29038404,20.70796405,21.99816539,23.41053704,23.65510055,22.88449569,21.35515029,21.26030403,23.31408836,22.49595593,23.54359723,24.51442905,23.28994242,22.99298117,21.46046744,19.68735045,19.84177736,19.64768742,19.48099953,19.89316279,18.41740871,19.60673842,20.34553768,20.89962519,20.8184719,21.21961944,21.26413466,20.63121971,21.21699802,21.77640818,22.95455488,22.53991656,22.92606145,,
Central Europe and the Baltics,CEB,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,0.1003260041,0.09152557311,0.1082254713,0.09131650927,0.09585412795,0.1042034264,0.1037463319,0.1046033787,0.1052183088,0.08113787091,0.1580101252,0.4191966711,0.5132900599,0.5227198872,0.7351191729,0.8581265864,1.023344384,1.110943143,1.057100593,1.260934471,1.5230928,1.862173613,1.931427877,2.275243769,2.614982825,3.113774385,3.453455443,4.041528683,4.686671463,4.840995435,6.483490666,7.038737812,7.008664748,7.193392089,7.508181219,7.763226276,7.971665301,8.267269806,8.956875142,9.106238992,9.586083074,10.03079833,10.83050858,10.44864477,10.79822029,10.70096451,10.35965509,9.956768838,10.72293482,11.53751911,10.58067246,10.53498337,11.03437717,11.63197527,12.39797091,10.24672868,,
Switzerland,CHE,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,23.6818236,23.50171721,20.81842737,18.19460331,18.00320247,18.66401491,20.44025168,20.95248345,19.13461231,17.30452357,19.73428961,16.31441303,18.18150465,21.3865558,23.96367811,28.52546345,24.18744792,28.71130528,26.2021012,30.24259859,32.75464959,35.90269855,37.120833,35.11128646,35.52161573,39.16479947,37.880263,40.06586771,39.88226463,38.44560076,36.18151995,35.76162301,36.34258751,38.28013448,40.17381817,39.98289968,37.27279634,38.71194835,38.53412416,40.70481091,40.80475289,40.27180554,39.71990627,39.7300881,38.73849208,34.54192791,37.35424485,40.87856186,39.50317471,39.19599093,39.32595576,39.76804043,40.41353675,39.41955841,43.56600865,40.16045112,,
